,chromosome,source,feature_type,start,end,score,strand,phase,attributes
1753512,NC_000007.14,Gnomon,gene,16780348,16782546,.,+,.,ID=gene-LOC124901593;Dbxref=GeneID:124901593;Name=LOC124901593;description=uncharacterized LOC124901593;gbkey=Gene;gene=LOC124901593;gene_biotype=lncRNA
1753516,NC_000007.14,BestRefSeq%2CGnomon,gene,16791811,16804999,.,-,.,"ID=gene-AGR2;Dbxref=GeneID:10551,HGNC:HGNC:328,MIM:606358;Name=AGR2;description=anterior gradient 2%2C protein disulphide isomerase family member;gbkey=Gene;gene=AGR2;gene_biotype=protein_coding;gene_synonym=AG-2,AG2,GOB-4,HAG-2,HEL-S-116,HPC8,PDIA17,RIFTD,XAG-2"
1753550,NC_000007.14,BestRefSeq%2CGnomon,gene,16854681,16881983,.,-,.,"ID=gene-AGR3;Dbxref=GeneID:155465,HGNC:HGNC:24167,MIM:609482;Name=AGR3;description=anterior gradient 3%2C protein disulphide isomerase family member;gbkey=Gene;gene=AGR3;gene_biotype=protein_coding;gene_synonym=AG-3,AG3,BCMP11,hAG-3,HAG3,PDIA18"
1753610,NC_000007.14,Gnomon,gene,16967179,16971755,.,-,.,ID=gene-LOC124901594;Dbxref=GeneID:124901594;Name=LOC124901594;description=uncharacterized LOC124901594;gbkey=Gene;gene=LOC124901594;gene_biotype=lncRNA
1753614,NC_000007.14,Gnomon,gene,16990218,17021562,.,+,.,ID=gene-LOC105375170;Dbxref=GeneID:105375170;Name=LOC105375170;description=uncharacterized LOC105375170;gbkey=Gene;gene=LOC105375170;gene_biotype=lncRNA
1753625,NC_000007.14,Gnomon,gene,16990267,17050527,.,-,.,ID=gene-LOC124901595;Dbxref=GeneID:124901595;Name=LOC124901595;description=uncharacterized LOC124901595;gbkey=Gene;gene=LOC124901595;gene_biotype=lncRNA
1753635,NC_000007.14,Gnomon,gene,17066313,17099509,.,-,.,ID=gene-LOC124901596;Dbxref=GeneID:124901596;Name=LOC124901596;description=uncharacterized LOC124901596;gbkey=Gene;gene=LOC124901596;gene_biotype=lncRNA
1753642,NC_000007.14,Gnomon,gene,17099804,17228811,.,+,.,ID=gene-LOC107986772;Dbxref=GeneID:107986772;Name=LOC107986772;description=uncharacterized LOC107986772;gbkey=Gene;gene=LOC107986772;gene_biotype=lncRNA
1753647,NC_000007.14,Gnomon,gene,17134912,17299320,.,-,.,ID=gene-LOC101927609;Dbxref=GeneID:101927609;Name=LOC101927609;description=uncharacterized LOC101927609;gbkey=Gene;gene=LOC101927609;gene_biotype=lncRNA
1753710,NC_000007.14,BestRefSeq,gene,17298652,17346147,.,+,.,"ID=gene-AHR;Dbxref=GeneID:196,HGNC:HGNC:348,MIM:600253;Name=AHR;description=aryl hydrocarbon receptor;gbkey=Gene;gene=AHR;gene_biotype=protein_coding;gene_synonym=bHLHe76,RP85"
1753740,NC_000007.14,Gnomon,gene,17362433,17371846,.,-,.,ID=gene-LOC105375171;Dbxref=GeneID:105375171;Name=LOC105375171;description=uncharacterized LOC105375171;gbkey=Gene;gene=LOC105375171;gene_biotype=lncRNA
1753748,NC_000007.14,BestRefSeq,gene,17374917,17467256,.,+,.,"ID=gene-LINC02888;Dbxref=GeneID:102659288,HGNC:HGNC:53765;Name=LINC02888;description=long intergenic non-protein coding RNA 2888;gbkey=Gene;gene=LINC02888;gene_biotype=lncRNA;gene_synonym=KCCAT333"
1753760,NC_000007.14,Gnomon,gene,17430587,17463138,.,-,.,ID=gene-LOC105375172;Dbxref=GeneID:105375172;Name=LOC105375172;description=uncharacterized LOC105375172;gbkey=Gene;gene=LOC105375172;gene_biotype=lncRNA
1753768,NC_000007.14,BestRefSeq,gene,17463445,17558909,.,-,.,"ID=gene-LINC02889;Dbxref=GeneID:101927630,HGNC:HGNC:55071;Name=LINC02889;description=long intergenic non-protein coding RNA 2889;gbkey=Gene;gene=LINC02889;gene_biotype=lncRNA"
1753788,NC_000007.14,BestRefSeq%2CGnomon,gene,17790761,17940494,.,-,.,"ID=gene-SNX13;Dbxref=GeneID:23161,HGNC:HGNC:21335,MIM:606589;Name=SNX13;description=sorting nexin 13;gbkey=Gene;gene=SNX13;gene_biotype=protein_coding;gene_synonym=RGS-PX1"
1754473,NC_000007.14,BestRefSeq,gene,18026770,18027846,.,-,.,"ID=gene-PRPS1L1;Dbxref=GeneID:221823,HGNC:HGNC:9463,MIM:611566;Name=PRPS1L1;description=phosphoribosyl pyrophosphate synthetase 1 like 1;gbkey=Gene;gene=PRPS1L1;gene_biotype=protein_coding;gene_synonym=PRPS1,PRPS3,PRPSL,PRS-III"
1754479,NC_000007.14,BestRefSeq,gene,18086825,19002416,.,+,.,"ID=gene-HDAC9;Dbxref=GeneID:9734,HGNC:HGNC:14065,MIM:606543;Name=HDAC9;description=histone deacetylase 9;gbkey=Gene;gene=HDAC9;gene_biotype=protein_coding;gene_synonym=ARCND4,HD7,HD7b,HD9,HDAC,HDAC7,HDAC7B,HDAC9B,HDAC9FL,HDRP,MITR"
1755569,NC_000007.14,BestRefSeq,gene,18127220,18127309,.,-,.,"ID=gene-MIR1302-6;Dbxref=GeneID:100302140,HGNC:HGNC:35298,miRBase:MI0006367;Name=MIR1302-6;description=microRNA 1302-6;gbkey=Gene;gene=MIR1302-6;gene_biotype=miRNA;gene_synonym=hsa-mir-1302-6,MIRN1302-6"
1755611,NC_000007.14,Gnomon,gene,18653130,18659820,.,-,.,ID=gene-LOC124901598;Dbxref=GeneID:124901598;Name=LOC124901598;description=uncharacterized LOC124901598;gbkey=Gene;gene=LOC124901598;gene_biotype=lncRNA
1755625,NC_000007.14,Gnomon,gene,18885879,18901992,.,-,.,"ID=gene-HDAC9-AS1;Dbxref=GeneID:105375176,HGNC:HGNC:40664;Name=HDAC9-AS1;description=HDAC9 antisense RNA 1;gbkey=Gene;gene=HDAC9-AS1;gene_biotype=lncRNA"
1755633,NC_000007.14,Gnomon,gene,19106928,19113245,.,+,.,ID=gene-LOC124901597;Dbxref=GeneID:124901597;Name=LOC124901597;description=uncharacterized LOC124901597;gbkey=Gene;gene=LOC124901597;gene_biotype=lncRNA
1755638,NC_000007.14,BestRefSeq,gene,19113047,19117636,.,-,.,"ID=gene-TWIST1;Dbxref=GeneID:7291,HGNC:HGNC:12428,MIM:601622;Name=TWIST1;description=twist family bHLH transcription factor 1;gbkey=Gene;gene=TWIST1;gene_biotype=protein_coding;gene_synonym=ACS3,bHLHa38,BPES2,BPES3,CRS,CRS1,CSO,SCS,SWCOS,TWIST"
1755655,NC_000007.14,BestRefSeq,gene,19144782,19145421,.,-,.,"ID=gene-FERD3L;Dbxref=GeneID:222894,HGNC:HGNC:16660,MIM:617578;Name=FERD3L;description=Fer3 like bHLH transcription factor;gbkey=Gene;gene=FERD3L;gene_biotype=protein_coding;gene_synonym=bHLHa31,N-TWIST,NATO3,NTWIST,PTFB"
1755663,NC_000007.14,Gnomon,gene,19299724,19334273,.,+,.,ID=gene-LOC107986773;Dbxref=GeneID:107986773;Name=LOC107986773;description=uncharacterized LOC107986773;gbkey=Gene;gene=LOC107986773;gene_biotype=lncRNA
1755674,NC_000007.14,Gnomon,gene,19380944,19405903,.,+,.,ID=gene-LOC105375179;Dbxref=GeneID:105375179;Name=LOC105375179;description=uncharacterized LOC105375179;gbkey=Gene;gene=LOC105375179;gene_biotype=lncRNA
1755695,NC_000007.14,Gnomon,gene,19576291,19669551,.,+,.,ID=gene-LOC105375180;Dbxref=GeneID:105375180;Name=LOC105375180;description=uncharacterized LOC105375180;gbkey=Gene;gene=LOC105375180;gene_biotype=lncRNA
1755706,NC_000007.14,BestRefSeq,gene,19695461,19709037,.,-,.,"ID=gene-POLR1F;Dbxref=GeneID:221830,HGNC:HGNC:18027,MIM:608312;Name=POLR1F;description=RNA polymerase I subunit F;gbkey=Gene;gene=POLR1F;gene_biotype=protein_coding;gene_synonym=A43,RPA43,TWISTNB"
1755716,NC_000007.14,BestRefSeq,gene,19705358,19705436,.,-,.,"ID=gene-MIR3146;Dbxref=GeneID:100422967,HGNC:HGNC:38368,miRBase:MI0014172;Name=MIR3146;description=microRNA 3146;gbkey=Gene;gene=MIR3146;gene_biotype=miRNA;gene_synonym=mir-3146"
1755727,NC_000007.14,BestRefSeq%2CGnomon,gene,19719315,19773617,.,-,.,"ID=gene-TMEM196;Dbxref=GeneID:256130,HGNC:HGNC:22431;Name=TMEM196;description=transmembrane protein 196;gbkey=Gene;gene=TMEM196;gene_biotype=protein_coding"
1755802,NC_000007.14,Gnomon,gene,19722018,19814347,.,+,.,ID=gene-LOC107986774;Dbxref=GeneID:107986774;Name=LOC107986774;description=uncharacterized LOC107986774;gbkey=Gene;gene=LOC107986774;gene_biotype=lncRNA
1755809,NC_000007.14,Gnomon,gene,19816230,19834730,.,-,.,ID=gene-LOC105379720;Dbxref=GeneID:105379720;Name=LOC105379720;description=uncharacterized LOC105379720;gbkey=Gene;gene=LOC105379720;gene_biotype=lncRNA
1755817,NC_000007.14,BestRefSeq,gene,19918981,20140426,.,-,.,ID=gene-LOC101927668;Dbxref=GeneID:101927668;Name=LOC101927668;description=uncharacterized LOC101927668;gbkey=Gene;gene=LOC101927668;gene_biotype=lncRNA
1755828,NC_000007.14,BestRefSeq,gene,20103860,20118555,.,+,.,ID=gene-LOC105375181;Dbxref=GeneID:105375181;Name=LOC105375181;description=uncharacterized LOC105375181;gbkey=Gene;gene=LOC105375181;gene_biotype=lncRNA
1755844,NC_000007.14,BestRefSeq,gene,20134655,20217384,.,-,.,"ID=gene-MACC1;Dbxref=GeneID:346389,HGNC:HGNC:30215,MIM:612646;Name=MACC1;description=MET transcriptional regulator MACC1;gbkey=Gene;gene=MACC1;gene_biotype=protein_coding;gene_synonym=7A5,SH3BP4L"
1755857,NC_000007.14,BestRefSeq,gene,20141916,20153531,.,+,.,"ID=gene-MACC1-AS1;Dbxref=GeneID:100874041,HGNC:HGNC:41257;Name=MACC1-AS1;description=MACC1 antisense RNA 1;gbkey=Gene;gene=MACC1-AS1;gene_biotype=lncRNA"
1755873,NC_000007.14,BestRefSeq,gene,20217577,20221700,.,+,.,"ID=gene-GIRGL;Dbxref=GeneID:100506098,HGNC:HGNC:55702;Name=GIRGL;description=glutamine insufficiency regulator of glutaminase lncRNA;gbkey=Gene;gene=GIRGL;gene_biotype=lncRNA;gene_synonym=MACC1-DT"
1755901,NC_000007.14,BestRefSeq,gene,20296708,20311712,.,+,.,ID=gene-LOC101927769;Dbxref=GeneID:101927769;Name=LOC101927769;description=uncharacterized LOC101927769;gbkey=Gene;gene=LOC101927769;gene_biotype=lncRNA
1755908,NC_000007.14,BestRefSeq,gene,20328301,20331762,.,-,.,"ID=gene-ITGB8-AS1;Dbxref=GeneID:101927811,HGNC:HGNC:55257;Name=ITGB8-AS1;description=ITGB8 antisense RNA 1;gbkey=Gene;gene=ITGB8-AS1;gene_biotype=lncRNA"
1755920,NC_000007.14,BestRefSeq%2CGnomon,gene,20329766,20415754,.,+,.,"ID=gene-ITGB8;Dbxref=GeneID:3696,HGNC:HGNC:6163,MIM:604160;Name=ITGB8;description=integrin subunit beta 8;gbkey=Gene;gene=ITGB8;gene_biotype=protein_coding"
1756298,NC_000007.14,cmsearch,gene,20377331,20377401,.,+,.,ID=gene-LOC124900239;Dbxref=GeneID:124900239;Name=LOC124900239;description=small nucleolar RNA SNORD56;gbkey=Gene;gene=LOC124900239;gene_biotype=snoRNA
1756313,NC_000007.14,BestRefSeq,gene,20615667,20757008,.,+,.,"ID=gene-ABCB5;Dbxref=GeneID:340273,HGNC:HGNC:46,MIM:611785;Name=ABCB5;description=ATP binding cassette subfamily B member 5;gbkey=Gene;gene=ABCB5;gene_biotype=protein_coding;gene_synonym=ABCB5alpha,ABCB5beta,EST422562"
1756434,NC_000007.14,BestRefSeq,gene,20782279,20786886,.,-,.,"ID=gene-SP8;Dbxref=GeneID:221833,HGNC:HGNC:19196,MIM:608306;Name=SP8;description=Sp8 transcription factor;gbkey=Gene;gene=SP8;gene_biotype=protein_coding;gene_synonym=BTD"
1756468,NC_000007.14,BestRefSeq,gene,20835431,21023148,.,+,.,"ID=gene-LINC01162;Dbxref=GeneID:104355138,HGNC:HGNC:49528;Name=LINC01162;description=long intergenic non-protein coding RNA 1162;gbkey=Gene;gene=LINC01162;gene_biotype=lncRNA"
1756524,NC_000007.14,BestRefSeq%2CGnomon,gene,21428083,21514822,.,+,.,"ID=gene-SP4;Dbxref=GeneID:6671,HGNC:HGNC:11209,MIM:600540;Name=SP4;description=Sp4 transcription factor;gbkey=Gene;gene=SP4;gene_biotype=protein_coding;gene_synonym=HF1B,SPR-1"
1756622,NC_000007.14,BestRefSeq,gene,21471058,21471146,.,+,.,"ID=gene-MIR1183;Dbxref=GeneID:100302122,HGNC:HGNC:35264,miRBase:MI0006276;Name=MIR1183;description=microRNA 1183;gbkey=Gene;gene=MIR1183;gene_biotype=miRNA;gene_synonym=hsa-mir-1183,MIRN1183"
1756633,NC_000007.14,BestRefSeq,gene,21543039,21901839,.,+,.,"ID=gene-DNAH11;Dbxref=GeneID:8701,HGNC:HGNC:2942,MIM:603339;Name=DNAH11;description=dynein axonemal heavy chain 11;gbkey=Gene;gene=DNAH11;gene_biotype=protein_coding;gene_synonym=CILD7,DNAHBL,DNAHC11,DNHBL,DPL11"
1756801,NC_000007.14,Gnomon,gene,21560086,21576142,.,-,.,ID=gene-LOC105375183;Dbxref=GeneID:105375183;Name=LOC105375183;description=uncharacterized LOC105375183;gbkey=Gene;gene=LOC105375183;gene_biotype=lncRNA
1756816,NC_000007.14,Gnomon,gene,21815765,21816470,.,-,.,ID=gene-LOC124901599;Dbxref=GeneID:124901599;Name=LOC124901599;description=uncharacterized LOC124901599;gbkey=Gene;gene=LOC124901599;gene_biotype=lncRNA
1756820,NC_000007.14,Gnomon,gene,21826211,21827543,.,+,.,ID=gene-LOC107986775;Dbxref=GeneID:107986775;Name=LOC107986775;description=uncharacterized LOC107986775;gbkey=Gene;gene=LOC107986775;gene_biotype=lncRNA
1756827,NC_000007.14,BestRefSeq,gene,21900899,21945899,.,-,.,"ID=gene-CDCA7L;Dbxref=GeneID:55536,HGNC:HGNC:30777,MIM:609685;Name=CDCA7L;description=cell division cycle associated 7 like;gbkey=Gene;gene=CDCA7L;gene_biotype=protein_coding;gene_synonym=JPO2,R1,RAM2"
1756923,NC_000007.14,BestRefSeq%2CGnomon,gene,22118236,22357154,.,-,.,"ID=gene-RAPGEF5;Dbxref=GeneID:9771,HGNC:HGNC:16862,MIM:609527;Name=RAPGEF5;description=Rap guanine nucleotide exchange factor 5;gbkey=Gene;gene=RAPGEF5;gene_biotype=protein_coding;gene_synonym=GFR,MR-GEF,MRGEF,REPAC"
1757273,NC_000007.14,BestRefSeq%2CGnomon,gene,22419444,22500188,.,-,.,"ID=gene-STEAP1B;Dbxref=GeneID:256227,HGNC:HGNC:41907;Name=STEAP1B;description=STEAP family member 1B;gbkey=Gene;gene=STEAP1B;gene_biotype=protein_coding"
1757402,NC_000007.14,BestRefSeq,gene,22563337,22573998,.,+,.,"ID=gene-STEAP1B-AS1;Dbxref=GeneID:100506178,HGNC:HGNC:56137;Name=STEAP1B-AS1;description=STEAP1B antisense RNA 1;gbkey=Gene;gene=STEAP1B-AS1;gene_biotype=lncRNA"
1757413,NC_000007.14,BestRefSeq,gene,22649960,22665533,.,-,.,ID=gene-LOC401312;Dbxref=GeneID:401312;Name=LOC401312;description=uncharacterized LOC401312;gbkey=Gene;gene=LOC401312;gene_biotype=lncRNA
1757436,NC_000007.14,BestRefSeq,gene,22725395,22727620,.,-,.,"ID=gene-IL6-AS1;Dbxref=GeneID:541472,HGNC:HGNC:40301;Name=IL6-AS1;description=IL6 antisense RNA 1;gbkey=Gene;gene=IL6-AS1;gene_biotype=lncRNA"
1757444,NC_000007.14,BestRefSeq%2CGnomon,gene,22727200,22731998,.,+,.,"ID=gene-IL6;Dbxref=GeneID:3569,HGNC:HGNC:6018,MIM:147620;Name=IL6;description=interleukin 6;gbkey=Gene;gene=IL6;gene_biotype=protein_coding;gene_synonym=BSF-2,BSF2,CDF,HGF,HSF,IFN-beta-2,IFNB2,IL-6"
1757493,NC_000007.14,BestRefSeq,gene,22812974,22822849,.,-,.,"ID=gene-TOMM7;Dbxref=GeneID:54543,HGNC:HGNC:21648,MIM:607980;Name=TOMM7;description=translocase of outer mitochondrial membrane 7;gbkey=Gene;gene=TOMM7;gene_biotype=protein_coding;gene_synonym=GMPGS,TOM7"
1757512,NC_000007.14,Gnomon,gene,22822957,22833843,.,+,.,ID=gene-LOC112267993;Dbxref=GeneID:112267993;Name=LOC112267993;description=uncharacterized LOC112267993;gbkey=Gene;gene=LOC112267993;gene_biotype=lncRNA
1757521,NC_000007.14,BestRefSeq,gene,22854240,22861436,.,+,.,"ID=gene-SNHG26;Dbxref=GeneID:109729180,HGNC:HGNC:53131;Name=SNHG26;description=small nucleolar RNA host gene 26;gbkey=Gene;gene=SNHG26;gene_biotype=lncRNA"
1757531,NC_000007.14,BestRefSeq,gene,22856613,22856686,.,+,.,"ID=gene-SNORD93;Dbxref=GeneID:692210,HGNC:HGNC:32755;Name=SNORD93;description=small nucleolar RNA%2C C/D box 93;gbkey=Gene;gene=SNORD93;gene_biotype=snoRNA;gene_synonym=HBII-336"
1757538,NC_000007.14,Gnomon,gene,22874691,22891423,.,-,.,ID=gene-LOC107986776;Dbxref=GeneID:107986776;Name=LOC107986776;description=uncharacterized LOC107986776;gbkey=Gene;gene=LOC107986776;gene_biotype=lncRNA
1757559,NC_000007.14,Gnomon,gene,22889744,22892855,.,+,.,ID=gene-LOC124901600;Dbxref=GeneID:124901600;Name=LOC124901600;description=uncharacterized LOC124901600;gbkey=Gene;gene=LOC124901600;gene_biotype=lncRNA
1757564,NC_000007.14,BestRefSeq%2CGnomon,gene,22895843,23014130,.,-,.,"ID=gene-HYCC1;Dbxref=GeneID:84668,HGNC:HGNC:24587,MIM:610531;Name=HYCC1;description=hyccin PI4KA lipid kinase complex subunit 1;gbkey=Gene;gene=HYCC1;gene_biotype=protein_coding;gene_synonym=DRCTNNB1A,FAM126A,HCC,HLD5"
1757694,NC_000007.14,Gnomon,gene,23021683,23030342,.,+,.,ID=gene-LOC105375185;Dbxref=GeneID:105375185;Name=LOC105375185;description=uncharacterized LOC105375185;gbkey=Gene;gene=LOC105375185;gene_biotype=lncRNA
1757708,NC_000007.14,Gnomon,gene,23077702,23099195,.,-,.,ID=gene-LOC105375186;Dbxref=GeneID:105375186;Name=LOC105375186;description=uncharacterized LOC105375186;gbkey=Gene;gene=LOC105375186;gene_biotype=lncRNA
1757713,NC_000007.14,BestRefSeq,gene,23101228,23105703,.,-,.,"ID=gene-KLHL7-DT;Dbxref=GeneID:100775104,HGNC:HGNC:43431;Name=KLHL7-DT;description=KLHL7 divergent transcript;gbkey=Gene;gene=KLHL7-DT;gene_biotype=lncRNA;gene_synonym=KLHL7-AS1,PLATAK"
1757721,NC_000007.14,BestRefSeq%2CGnomon,gene,23105785,23177914,.,+,.,"ID=gene-KLHL7;Dbxref=GeneID:55975,HGNC:HGNC:15646,MIM:611119;Name=KLHL7;description=kelch like family member 7;gbkey=Gene;gene=KLHL7;gene_biotype=protein_coding;gene_synonym=CISS3,KLHL6,PERCHING,SBBI26"
1757863,NC_000007.14,BestRefSeq%2CGnomon,gene,23182048,23201006,.,+,.,"ID=gene-NUP42;Dbxref=GeneID:11097,HGNC:HGNC:17010,MIM:619998;Name=NUP42;description=nucleoporin 42;gbkey=Gene;gene=NUP42;gene_biotype=protein_coding;gene_synonym=CG1,hCG1,NLP-1,NLP1,NLP_1,NUPL2,UIP1"
1757962,NC_000007.14,Gnomon,gene,23214075,23239759,.,+,.,ID=gene-LOC101927890;Dbxref=GeneID:101927890;Name=LOC101927890;description=uncharacterized LOC101927890;gbkey=Gene;gene=LOC101927890;gene_biotype=lncRNA
1757972,NC_000007.14,BestRefSeq%2CGnomon,gene,23246775,23275108,.,+,.,"ID=gene-GPNMB;Dbxref=GeneID:10457,HGNC:HGNC:4462,MIM:604368;Name=GPNMB;description=glycoprotein nmb;gbkey=Gene;gene=GPNMB;gene_biotype=protein_coding;gene_synonym=HGFIN,NMB,PLCA3"
1758101,NC_000007.14,BestRefSeq,gene,23299339,23311729,.,+,.,"ID=gene-MALSU1;Dbxref=GeneID:115416,HGNC:HGNC:21721,MIM:614624;Name=MALSU1;description=mitochondrial assembly of ribosomal large subunit 1;gbkey=Gene;gene=MALSU1;gene_biotype=protein_coding;gene_synonym=C7orf30,mtRsfA"
1758113,NC_000007.14,BestRefSeq%2CGnomon,gene,23310209,23470491,.,-,.,"ID=gene-IGF2BP3;Dbxref=GeneID:10643,HGNC:HGNC:28868,MIM:608259;Name=IGF2BP3;description=insulin like growth factor 2 mRNA binding protein 3;gbkey=Gene;gene=IGF2BP3;gene_biotype=protein_coding;gene_synonym=CT98,IMP-3,IMP3,KOC,KOC1,VICKZ3"
1758328,NC_000007.14,BestRefSeq,gene,23396446,23396516,.,+,.,"ID=gene-SNORD65C;Dbxref=GeneID:109616981,HGNC:HGNC:52232;Name=SNORD65C;description=small nucleolar RNA%2C C/D box 65C;gbkey=Gene;gene=SNORD65C;gene_biotype=snoRNA"
1758363,NC_000007.14,BestRefSeq%2CGnomon,gene,23504780,23531981,.,-,.,"ID=gene-TRA2A;Dbxref=GeneID:29896,HGNC:HGNC:16645,MIM:602718;Name=TRA2A;description=transformer 2 alpha homolog;gbkey=Gene;gene=TRA2A;gene_biotype=protein_coding;gene_synonym=AWMS1,HSU53209"
1758529,NC_000007.14,Gnomon,gene,23586694,23597325,.,-,.,ID=gene-LOC105375187;Dbxref=GeneID:105375187;Name=LOC105375187;description=uncharacterized LOC105375187;gbkey=Gene;gene=LOC105375187;gene_biotype=lncRNA
1758535,NC_000007.14,BestRefSeq%2CGnomon,gene,23597382,23644708,.,+,.,"ID=gene-CCDC126;Dbxref=GeneID:90693,HGNC:HGNC:22398;Name=CCDC126;description=coiled-coil domain containing 126;gbkey=Gene;gene=CCDC126;gene_biotype=protein_coding"
1758562,NC_000007.14,BestRefSeq%2CGnomon,gene,23680199,23703249,.,+,.,"ID=gene-FAM221A;Dbxref=GeneID:340277,HGNC:HGNC:27977;Name=FAM221A;description=family with sequence similarity 221 member A;gbkey=Gene;gene=FAM221A;gene_biotype=protein_coding;gene_synonym=C7orf46"
1758781,NC_000007.14,BestRefSeq%2CGnomon,gene,23710082,23832513,.,+,.,"ID=gene-STK31;Dbxref=GeneID:56164,HGNC:HGNC:11407,MIM:605790;Name=STK31;description=serine/threonine kinase 31;gbkey=Gene;gene=STK31;gene_biotype=protein_coding;gene_synonym=SGK396,TDRD8"
1759201,NC_000007.14,cmsearch,gene,23895028,23895134,.,-,.,ID=gene-LOC124901835;Dbxref=GeneID:124901835;Name=LOC124901835;description=small nucleolar RNA U13;gbkey=Gene;gene=LOC124901835;gene_biotype=snoRNA
1759208,NC_000007.14,Gnomon,gene,24018619,24027849,.,+,.,ID=gene-LOC105375188;Dbxref=GeneID:105375188;Name=LOC105375188;description=uncharacterized LOC105375188;gbkey=Gene;gene=LOC105375188;gene_biotype=lncRNA
1759218,NC_000007.14,Gnomon,gene,24141282,24445138,.,-,.,ID=gene-LOC107986777;Dbxref=GeneID:107986777;Name=LOC107986777;description=uncharacterized LOC107986777;gbkey=Gene;gene=LOC107986777;gene_biotype=lncRNA
1759303,NC_000007.14,cmsearch,gene,24261609,24261714,.,-,.,ID=gene-LOC124901831;Dbxref=GeneID:124901831;Name=LOC124901831;description=small nucleolar RNA U13;gbkey=Gene;gene=LOC124901831;gene_biotype=snoRNA
1759308,NC_000007.14,BestRefSeq,gene,24284190,24291862,.,+,.,"ID=gene-NPY;Dbxref=GeneID:4852,HGNC:HGNC:7955,MIM:162640;Name=NPY;description=neuropeptide Y;gbkey=Gene;gene=NPY;gene_biotype=protein_coding;gene_synonym=PYY4"
1759348,NC_000007.14,Gnomon,gene,24471283,24480623,.,-,.,ID=gene-LOC124901601;Dbxref=GeneID:124901601;Name=LOC124901601;description=uncharacterized LOC124901601;gbkey=Gene;gene=LOC124901601;gene_biotype=lncRNA
1759372,NC_000007.14,BestRefSeq%2CGnomon,gene,24573452,24694193,.,+,.,"ID=gene-PALS2;Dbxref=GeneID:51678,HGNC:HGNC:18167,MIM:606959;Name=PALS2;description=protein associated with LIN7 2%2C MAGUK p55 family member;gbkey=Gene;gene=PALS2;gene_biotype=protein_coding;gene_synonym=MPP6,p55T,VAM-1,VAM1"
1759600,NC_000007.14,BestRefSeq%2CGnomon,gene,24698355,24795539,.,-,.,"ID=gene-GSDME;Dbxref=GeneID:1687,HGNC:HGNC:2810,MIM:608798;Name=GSDME;description=gasdermin E;gbkey=Gene;gene=GSDME;gene_biotype=protein_coding;gene_synonym=DFNA5,ICERE-1"
1759722,NC_000007.14,Gnomon,gene,24756324,24774185,.,-,.,ID=gene-LOC124901820;Dbxref=GeneID:124901820;Name=LOC124901820;description=translation initiation factor IF-2-like;gbkey=Gene;gene=LOC124901820;gene_biotype=protein_coding
1759750,NC_000007.14,BestRefSeq%2CGnomon,gene,24796537,24981845,.,-,.,"ID=gene-OSBPL3;Dbxref=GeneID:26031,HGNC:HGNC:16370,MIM:606732;Name=OSBPL3;description=oxysterol binding protein like 3;gbkey=Gene;gene=OSBPL3;gene_biotype=protein_coding;gene_synonym=ORP-3,ORP3,OSBP3"
1761469,NC_000007.14,BestRefSeq,gene,25118656,25125260,.,-,.,"ID=gene-CYCS;Dbxref=GeneID:54205,HGNC:HGNC:19986,MIM:123970;Name=CYCS;description=cytochrome c%2C somatic;gbkey=Gene;gene=CYCS;gene_biotype=protein_coding;gene_synonym=CYC,HCS,THC4"
1761482,NC_000007.14,BestRefSeq%2CGnomon,gene,25125772,25180354,.,-,.,"ID=gene-SPMIP4;Dbxref=GeneID:136895,HGNC:HGNC:21722,MIM:616071;Name=SPMIP4;description=sperm microtubule inner protein 4;gbkey=Gene;gene=SPMIP4;gene_biotype=protein_coding;gene_synonym=C7orf31"
1761575,NC_000007.14,Gnomon,gene,25154018,25215459,.,+,.,ID=gene-LOC124901603;Dbxref=GeneID:124901603;Name=LOC124901603;description=uncharacterized LOC124901603;gbkey=Gene;gene=LOC124901603;gene_biotype=lncRNA
1761580,NC_000007.14,Gnomon,gene,25175814,25177631,.,+,.,ID=gene-LOC124901602;Dbxref=GeneID:124901602;Name=LOC124901602;description=uncharacterized LOC124901602;gbkey=Gene;gene=LOC124901602;gene_biotype=lncRNA
1761588,NC_000007.14,Gnomon,gene,25186905,25193979,.,+,.,ID=gene-LOC105375191;Dbxref=GeneID:105375191;Name=LOC105375191;description=uncharacterized LOC105375191;gbkey=Gene;gene=LOC105375191;gene_biotype=lncRNA
1761597,NC_000007.14,BestRefSeq,gene,25224570,25228486,.,-,.,"ID=gene-NPVF;Dbxref=GeneID:64111,HGNC:HGNC:13782,MIM:616984;Name=NPVF;description=neuropeptide VF precursor;gbkey=Gene;gene=NPVF;gene_biotype=protein_coding;gene_synonym=C7orf9,RFRP"
1761609,NC_000007.14,cmsearch,gene,25264656,25264882,.,+,.,ID=gene-LOC124901858;Dbxref=GeneID:124901858;Name=LOC124901858;description=small nucleolar RNA U3;gbkey=Gene;gene=LOC124901858;gene_biotype=snoRNA
1761617,NC_000007.14,Gnomon,gene,25321272,25321920,.,+,.,ID=gene-LOC105375193;Dbxref=GeneID:105375193;Name=LOC105375193;description=uncharacterized LOC105375193;gbkey=Gene;gene=LOC105375193;gene_biotype=lncRNA
